id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
axa4pdc9u8um,Cra 36a # 12-00,rescate,urgente,4.099917,-72.9088133,Cra 36a # 12-00,,Agua | Comida | Pañales | Electrolitos | Elementos de aseo | elementos para bebés | comida no perecedera | agua embotellada y electrolitos | arriculos de primera necesidad (cepillos de dientes | pasta de dientes | toallas higiénicas | papel higiénico etc,0,0,,2026-08-12T21:15:52.626Z
ptfzxqig45dt,Clínica santa Sofía Buenaventura,rescate,urgente,3.880601,-77.0200653,Clínica santa Sofía Buenaventura,,Pañales | Colchonetas | Voluntarios | Agua | Comida | Tapabocas,0,0,,2026-08-12T21:13:23.389Z
x4a9emmranmi,Calle 5 carrera 44,rescate,urgente,3.8902598453459545,-76.2927205696216,Calle 5 carrera 44,,SONDA DE VIDEO o ULTRASONIDO (URGENTE) | Cucharas y tenedores (desechables) | Guantes de obra | Gafas de seguridad | Linternas | Palas | Picas | Porras | Barras de demolición | Discos de pulidora | Seguetas | Baldes,0,0,,2026-08-12T20:57:36.578Z
cptd8mgyrw4i,Crucero de Guali,rescate,urgente,3.0802445,-76.4186397,Crucero de Guali,,Agua | Comida | Guantes de obra | Gafas de seguridad | Tapabocas | Linternas | Cinceles | Colchonetas | Pañales | Comida para animales | Baldes | Botiquín | Electrolitos | Todo será enviado a Buenaventura & Choco,0,0,,2026-08-12T20:57:23.158Z
9xigxpfmdpuu,andinapolis,albergue,necesita,4.1669721,-76.386254,andinapolis,,Linternas | Agua | Comida | Guantes de obra | Gafas de seguridad | Porras | Colchonetas | Carpas | Comida para animales | Pañales | Botiquín | enlatados | no perecederos | starlink | paneles solares y baterías,0,0,3184695096,2026-08-12T20:55:30.739Z
ujvqzgcxekkc,Aeropuerto Quibdó,rescate,urgente,4.937643809964863,-75.73623183335593,Aeropuerto Quibdó,,Voluntarios | Llegaron las ayudas!!!,0,0,,2026-08-12T20:51:09.946Z
xmup5jdd7mpa,Carrera 16A #21B - 78,acopio,urgente,3.5199354643524035,-76.28963470458986,,,Agua | Comida | Gafas de seguridad | Guantes de obra | Linternas | Tapabocas | Cinceles | Electrolitos | Pañales | Comida para animales | Picas | Barras de demolición,2,11,3147347031,2026-08-12T20:50:17.422Z
it3tsszuu3is,Dagua,rescate,urgente,3.658161,-76.6893973,Dagua,,Voluntarios | Agua | Comida | Linternas | Tapabocas | Palas | Picas | Discos de pulidora | Cinceles | Seguetas | Cintas de seguridad | Baldes | Costales | Botiquín | Tapers | Electrolitos | Carpas | Construir casas,0,0,,2026-08-12T20:49:49.011Z
cyjd2dzkmrnm,Galicia,rescate,urgente,4.1721624,-76.0577227,Galicia,,Voluntarios | Agua | Comida | Guantes de obra | Gafas de seguridad | Tapabocas | Palas | Picas | Barras de demolición | Porras | Cinceles | Percutores | Discos de pulidora | Seguetas | Cintas de seguridad | Costales | Baldes | Tapers | Electrolitos | Carpas,0,0,,2026-08-12T20:49:18.904Z
grxj3c4c88up,Sevilla,rescate,urgente,4.2645071,-75.934396,Sevilla,,Voluntarios | Agua | Comida | Guantes de obra | Gafas de seguridad | Tapabocas | Linternas | Palas | Picas | Porras | Baldes | Pañales | Colchonetas | Comida para animales | Carpas | Tapers | Botiquín | Ayuda ya,0,0,,2026-08-12T20:48:32.609Z
wyiexgg56whr,Chiminangos cali,rescate,urgente,3.5231929674499445,-76.30829047536042,Chiminangos cali,,Guadas | vigas | vivienda | bodega para guardar pertenencias.,0,0,,2026-08-12T20:45:47.363Z
8gc73u4vfgw8,Puente tierra vía lobo guerrero,rescate,urgente,3.9026857,-76.2920241,Puente tierra vía lobo guerrero,,Agua | Comida | Tapabocas | Colchonetas | Comida para animales | Guantes de obra | Linternas | Alimento | Carpas | Pañales | Gafas de seguridad | FÓRMULAS BEBÉ | ROPA DE BEBE | PAÑALES DE BEBÉ Y ADULTO,0,0,,2026-08-12T20:41:57.988Z
nhi8e92ye3hr,Riofrio valle,rescate,urgente,4.155815,-76.2900217,Riofrio valle,,Agua | Comida | Carpas | Colchonetas | Pañales | Comida para animales | Botiquín | Linternas,0,0,,2026-08-12T20:41:12.903Z
gc4zxbbk9p8x,GYM CASA ESTUDIO,acopio,cubierto,3.8877318124947258,-76.29920214414598,GYM CASA ESTUDIO,,Comida | Carpas | Pañales | Colchonetas | Alimentos perecederos | Agua | COBIJAS | GRANOS | PASTAS | ENLATADOS | BOTELLAS VACÍAS | Comida para animales | Linternas | ROPA DE BEBÉ,8,2,,2026-08-12T20:41:06.798Z
2uka7595e8gk,Los guamos,rescate,urgente,4.8615416,-75.6606476,Los guamos,,Voluntarios | Comida | Guantes de obra | Linternas | Pañales | Comida para animales | Colchonetas | Botiquín | Carpas | Palas | Tapers | Electrolitos | Baldes | Costales | Cintas de seguridad | Seguetas | Cinceles | Discos de pulidora | Porras,3,28,,2026-08-12T20:39:02.100Z
mv7xctmvchph,Alamos pereira,rescate,urgente,4.7981924,-75.6894795,Alamos pereira,,Voluntarios | Agua | Guantes de obra | Tapabocas | Palas | Picas | Cinceles | Seguetas | Barras de demolición | Percutores | Discos de pulidora | Baldes | Costales | Cintas de seguridad | martillo neumático,3,21,,2026-08-12T20:28:27.699Z
azppjpwzrqce,Calima Darién,rescate,urgente,4.081887722399682,-76.18830149756624,Calima Darién,,Agua | Voluntarios | Comida | Linternas | Carpas | Colchonetas | Pañales | Comida para animales | Camionetas para llevar a las veredas,0,0,,2026-08-12T20:17:30.076Z
9dqddw7c3bnc,Calle 4 #66B - 52,rescate,urgente,3.547256260755585,-76.28178834915163,Calle 4 #66B - 52,,Comida | Agua | Electrolitos,50,22,,2026-08-12T20:06:27.147Z
pzwixd6nt9mh,"Villa Carolina, Armenia",rescate,urgente,4.5508222,-75.6660747,"Villa Carolina, Armenia",,Agua | Voluntarios | Guantes de obra | Tapabocas | Linternas | Gafas de seguridad | Picas | Carpas | Electrolitos | Colchonetas | Botiquín | Pañales,0,0,,2026-08-12T20:06:14.424Z
